01/01/2016,182
01/02/2016,71
01/03/2016,54
01/04/2016,4
01/05/2016,5
01/06/2016,7
01/07/2016,11
01/08/2016,31
01/09/2016,103
01/10/2016,110
01/11/2016,12
01/12/2016,9
01/13/2016,8
01/14/2016,16
01/15/2016,41
01/16/2016,160
01/17/2016,137
01/18/2016,19
01/19/2016,8
01/20/2016,12
01/21/2016,14
01/22/2016,49
01/23/2016,164
01/24/2016,149
01/25/2016,10
01/26/2016,11
01/27/2016,14
01/28/2016,14
01/29/2016,38
01/30/2016,172
01/31/2016,168
02/01/2016,6
02/02/2016,4
02/03/2016,13
02/04/2016,9
02/05/2016,41
02/06/2016,153
02/07/2016,139
02/08/2016,18
02/09/2016,13
02/10/2016,7
02/11/2016,15
02/12/2016,49
02/13/2016,169
02/14/2016,133
02/15/2016,34
02/16/2016,14
02/17/2016,8
02/18/2016,23
02/19/2016,47
02/20/2016,205
02/21/2016,151
02/22/2016,11
02/23/2016,15
02/24/2016,13
02/25/2016,15
02/26/2016,50
02/27/2016,196
02/28/2016,169
02/29/2016,18
03/01/2016,7
03/02/2016,10
03/03/2016,21
03/04/2016,43
03/05/2016,180
03/06/2016,96
03/07/2016,12
03/08/2016,15
03/09/2016,8
03/10/2016,13
03/11/2016,37
03/12/2016,208
03/13/2016,115
03/14/2016,24
03/15/2016,23
03/16/2016,11
03/17/2016,22
03/18/2016,64
03/19/2016,190
03/20/2016,193
03/21/2016,25
03/22/2016,18
03/23/2016,23
03/24/2016,44
03/25/2016,52
03/26/2016,217
03/27/2016,190
03/28/2016,32
03/29/2016,10
03/30/2016,19
03/31/2016,12
04/01/2016,50
04/02/2016,203
04/03/2016,201
04/04/2016,25
04/05/2016,12
04/06/2016,9
04/07/2016,24
04/08/2016,44
04/09/2016,176
04/10/2016,174
04/11/2016,14
04/12/2016,11
04/13/2016,19
04/14/2016,13
04/15/2016,49
04/16/2016,225
04/17/2016,195
04/18/2016,17
04/19/2016,9
04/20/2016,18
04/21/2016,22
04/22/2016,53
04/23/2016,210
04/24/2016,225
04/25/2016,11
04/26/2016,5
04/27/2016,12
04/28/2016,19
04/29/2016,52
04/30/2016,265
05/01/2016,194
05/02/2016,18
05/03/2016,10
05/04/2016,19
05/05/2016,35
05/06/2016,80
05/07/2016,301
05/08/2016,221
05/09/2016,21
05/10/2016,17
05/11/2016,20
05/12/2016,21
05/13/2016,46
05/14/2016,252
05/15/2016,225
05/16/2016,25
05/17/2016,22
05/18/2016,10
05/19/2016,31
05/20/2016,57
05/21/2016,337
05/22/2016,270
05/23/2016,35
05/24/2016,14
05/25/2016,16
05/26/2016,33
05/27/2016,43
05/28/2016,268
05/29/2016,330
05/30/2016,131
05/31/2016,17
06/01/2016,26
06/02/2016,25
06/03/2016,49
06/04/2016,238
06/05/2016,192
06/06/2016,29
06/07/2016,15
06/08/2016,17
06/09/2016,37
06/10/2016,48
06/11/2016,289
06/12/2016,250
06/13/2016,36
06/14/2016,30
06/15/2016,18
06/16/2016,25
06/17/2016,71
06/18/2016,208
06/19/2016,205
06/20/2016,34
06/21/2016,17
06/22/2016,14
06/23/2016,29
06/24/2016,59
06/25/2016,201
06/26/2016,208
06/27/2016,26
06/28/2016,21
06/29/2016,14
06/30/2016,24
07/01/2016,51
07/02/2016,151
07/03/2016,208
07/04/2016,136
07/05/2016,51
07/06/2016,13
07/07/2016,24
07/08/2016,42
07/09/2016,194
07/10/2016,188
07/11/2016,31
07/12/2016,22
07/13/2016,19
07/14/2016,15
07/15/2016,66
07/16/2016,235
07/17/2016,232
07/18/2016,24
07/19/2016,26
07/20/2016,11
07/21/2016,12
07/22/2016,47
07/23/2016,193
07/24/2016,174
07/25/2016,39
07/26/2016,9
07/27/2016,19
07/28/2016,21
07/29/2016,64
07/30/2016,188
07/31/2016,193
08/01/2016,26
08/02/2016,15
08/03/2016,8
08/04/2016,24
08/05/2016,37
08/06/2016,232
08/07/2016,217
08/08/2016,24
08/09/2016,25
08/10/2016,20
08/11/2016,22
08/12/2016,61
08/13/2016,199
08/14/2016,213
08/15/2016,23
08/16/2016,14
08/17/2016,9
08/18/2016,21
08/19/2016,56
08/20/2016,203
08/21/2016,206
08/22/2016,18
08/23/2016,12
08/24/2016,14
08/25/2016,26
08/26/2016,64
08/27/2016,233
08/28/2016,234
08/29/2016,30
08/30/2016,14
08/31/2016,15
09/01/2016,17
09/02/2016,50
09/03/2016,218
09/04/2016,268
09/05/2016,116
09/06/2016,16
09/07/2016,17
09/08/2016,21
09/09/2016,69
09/10/2016,191
09/11/2016,202
09/12/2016,18
09/13/2016,24
09/14/2016,18
09/15/2016,23
09/16/2016,67
09/17/2016,254
09/18/2016,248
09/19/2016,24
09/20/2016,9
09/21/2016,17
09/22/2016,14
09/23/2016,75
09/24/2016,275
09/25/2016,238
09/26/2016,18
09/27/2016,10
09/28/2016,18
09/29/2016,12
09/30/2016,51
10/01/2016,224
10/02/2016,187
10/03/2016,27
10/04/2016,21
10/05/2016,8
10/06/2016,21
10/07/2016,54
10/08/2016,214
10/09/2016,188
10/10/2016,21
10/11/2016,5
10/12/2016,10
10/13/2016,17
10/14/2016,49
10/15/2016,246
10/16/2016,215
10/17/2016,23
10/18/2016,16
10/19/2016,17
10/20/2016,21
10/21/2016,54
10/22/2016,319
10/23/2016,239
10/24/2016,15
10/25/2016,21
10/26/2016,16
10/27/2016,16
10/28/2016,101
10/29/2016,450
10/30/2016,356
10/31/2016,25
